bookId,title,series,author,rating,description,language,isbn,genres,characters,bookFormat,edition,pages,publisher,publishDate,firstPublishDate,awards,numRatings,ratingsByStars,likedPercent,setting,coverImg,bbeScore,bbeVotes,price
2.Harry_Potter_and_the_Order_of_the_Phoenix,Harry Potter and the Order of the Phoenix,Harry Potter #5,"J.K. Rowling, Mary GrandPré (Illustrator)",4.5,"There is a door at the end of a silent corridor. And it’s haunting Harry Pottter’s dreams. Why else would he be waking in the middle of the night, screaming in terror?Harry has a lot on his mind for this, his fifth year at Hogwarts: a Defense Against the Dark Arts teacher with a personality like poisoned honey; a big surprise on the Gryffindor Quidditch team; and the looming terror of the Ordinary Wizarding Level exams. But all these things pale next to the growing threat of He-Who-Must-Not-Be-Named - a threat that neither the magical government nor the authorities at Hogwarts can stop.As the grasp of darkness tightens, Harry must discover the true depth and strength of his friends, the importance of boundless loyalty, and the shocking price of unbearable sacrifice.His fate depends on them all.",English,9780439358071,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Adventure', 'Audiobook', 'Middle Grade', 'Classics', 'Science Fiction Fantasy']","['Sirius Black', 'Draco Malfoy', 'Ron Weasley', 'Petunia Dursley', 'Vernon Dursley', 'Dudley Dursley', 'Severus Snape', 'Rubeus Hagrid', 'Lord Voldemort', 'Minerva McGonagall', 'Neville Longbottom', 'Fred Weasley', 'George Weasley', 'Percy Weasley', 'Ginny Weasley', 'Colin Creevey', 'Filius Flitwick', 'Gilderoy Lockhart', 'Lucius Malfoy', 'Pomona Sprout', 'Arthur Weasley', 'Molly Weasley', 'Cho Chang', 'Cornelius Fudge', 'Remus Lupin', 'Sybil Trelawney', 'Stan Shunpike', 'Bellatrix Lestrange', 'Alastor Moody', 'Rita Skeeter', 'Luna Lovegood', 'Nymphadora Tonks', 'Dolores Umbridge', 'Dobby', 'Kingsley Shacklebolt', 'Padma Patil', 'Parvati Patil', 'Kreacher', 'Dean Thomas', 'Seamus Finnigan', 'Albus Dumbledore', 'Harry Potter', 'Hermione Granger', 'Lavender Brown']",Paperback,US Edition,870,Scholastic Inc.,09/28/04,06/21/03,"['Bram Stoker Award for Works for Young Readers (2003)', 'Anthony Award for Young Adult (2004)', ""Mythopoeic Fantasy Award for Children's Literature (2008)"", 'Audie Award for Audiobook of the Year (2004)', 'Books I Loved Best Yearly (BILBY) Awards for Older Readers (2004)', 'Colorado Blue Spruce Young Adult Book Award (2006)', 'Golden Archer Award for Middle/Junior High (2005)', 'Deutscher Jugendliteraturpreis Nominee for Preis der Jugendjury (2004)', 'Carnegie Medal Nominee (2003)']",2507623,"['1593642', '637516', '222366', '39573', '14526']",98.0,"['Hogwarts School of Witchcraft and Wizardry (United Kingdom)', 'London, England']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546910265l/2.jpg,2632233,26923,7.38
30.J_R_R_Tolkien_4_Book_Boxed_Set,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,The Lord of the Rings #0-3,J.R.R. Tolkien,4.6,"This four-volume, boxed set contains J.R.R. Tolkien's epic masterworks The Hobbit and the three volumes of The Lord of the Rings (The Fellowship of the Ring, The Two Towers, and The Return of the King).In The Hobbit, Bilbo Baggins is whisked away from his comfortable, unambitious life in Hobbiton by the wizard Gandalf and a company of dwarves. He finds himself caught up in a plot to raid the treasure hoard of Smaug the Magnificent, a large and very dangerous dragon.The Lord of the Rings tells of the great quest undertaken by Frodo Baggins and the Fellowship of the Ring: Gandalf the wizard; the hobbits Merry, Pippin, and Sam; Gimli the dwarf; Legolas the elf; Boromir of Gondor; and a tall, mysterious stranger called Strider. J.R.R. Tolkien's three volume masterpiece is at once a classic myth and a modern fairy tale—a story of high and heroic adventure set in the unforgettable landscape of Middle-earth",English,9780345538376,"['Fantasy', 'Fiction', 'Classics', 'Adventure', 'Science Fiction Fantasy', 'Epic Fantasy', 'High Fantasy', 'Young Adult', 'Literature', 'Magic']","['Frodo Baggins', 'Gandalf', 'Bilbo Baggins', 'Gollum']",Mass Market Paperback,Hobbit Movie Tie-in Boxed set,1728,Ballantine Books,09/25/12,10/20/55,[],110146,"['78217', '22857', '6628', '1477', '967']",98.0,['Middle-earth'],https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1346072396l/30.jpg,1159802,12111,21.15
375802.Ender_s_Game,Ender's Game,Ender's Saga #1,"Orson Scott Card, Stefan Rudnicki (Narrator), Harlan Ellison (Narrator)",4.3,"Andrew ""Ender"" Wiggin thinks he is playing computer simulated war games; he is, in fact, engaged in something far more desperate. The result of genetic experimentation, Ender may be the military genius Earth desperately needs in a war against an alien enemy seeking to destroy all human life. The only way to find out is to throw Ender into ever harsher training, to chip away and find the diamond inside, or destroy him utterly. Ender Wiggin is six years old when it begins. He will grow up fast.But Ender is not the only result of the experiment. The war with the Buggers has been raging for a hundred years, and the quest for the perfect general has been underway almost as long. Ender's two older siblings, Peter and Valentine, are every bit as unusual as he is, but in very different ways. While Peter was too uncontrollably violent, Valentine very nearly lacks the capability for violence altogether. Neither was found suitable for the military's purpose. But they are driven by their jealousy of Ender, and by their inbred drive for power. Peter seeks to control the political process, to become a ruler. Valentine's abilities turn more toward the subtle control of the beliefs of commoner and elite alike, through powerfully convincing essays. Hiding their youth and identities behind the anonymity of the computer networks, these two begin working together to shape the destiny of Earth-an Earth that has no future at all if their brother Ender fails.Source: hatrack.com",English,9780812550702,"['Science Fiction', 'Fiction', 'Young Adult', 'Fantasy', 'Classics', 'Science Fiction Fantasy', 'Dystopia', 'War', 'Audiobook', 'Adventure']","['Dink', 'Bernard', 'Valentine Wiggin', 'Peter Wiggin', 'Mazer Rackham', 'Alai', 'Hyrum Graff', 'Andrew Wiggin', 'Petra Arkanian', '""Bean""', 'Major Anderson', 'Bonzo', 'Major Imbu']",Audiobook,Unabridged,324,Macmillan Audio,09/30/04,10/28/85,"['Hugo Award for Best Novel (1986)', 'Nebula Award for Best Novel (1985)', 'Nébula (1985)', 'Margaret A. Edwards Award (2008)']",1131303,"['603209', '339819', '132305', '35667', '20303']",95.0,[],https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1408303130l/375802.jpg,720651,7515,4.6
17245.Dracula,Dracula,Dracula #1,"Bram Stoker, Nina Auerbach (Editor), David J. Skal (Editor)",4.0,"You can find an alternative cover edition for this ISBN here and here.A rich selection of background and source materials is provided in three areas: Contexts includes probable inspirations for Dracula in the earlier works of James Malcolm Rymer and Emily Gerard. Also included are a discussion of Stoker's working notes for the novel and ""Dracula's Guest,"" the original opening chapter to Dracula. Reviews and Reactions reprints five early reviews of the novel. ""Dramatic and Film Variations"" focuses on theater and film adaptations of Dracula, two indications of the novel's unwavering appeal. David J. Skal, Gregory A. Waller, and Nina Auerbach offer their varied perspectives. Checklists of both dramatic and film adaptations are included.Criticism collects seven theoretical interpretations of Dracula by Phyllis A. Roth, Carol A. Senf, Franco Moretti, Christopher Craft, Bram Dijkstra, Stephen D. Arata, and Talia Schaffer.A Chronology and a Selected Bibliography are included.",English,9780393970128,"['Classics', 'Horror', 'Fiction', 'Fantasy', 'Vampires', 'Gothic', 'Paranormal', 'Literature', 'Audiobook', 'Supernatural']","['Jonathan Harker', 'Lucy Westenra', 'Abraham Van Helsing', 'John Seward', 'Quincey Morris', 'Arthur Holmwood (later Lord Godalming)', 'R.M. Renfield', 'Mina Harker', 'Quincey Harker', 'Peter Hawkins', 'Samuel F. Billington', 'Herr Leutner', 'Mr. Swales', 'Mr. Westenra', 'Mrs. Westenra', 'Lord Godalming (elder)', 'Patrick Hennessey', 'Thomas Bilder', 'Sister Agatha (Dracula)', 'Dr. Vincent', 'Thomas Snelling', 'Joseph Smollett', 'Sam Bloxam', 'Billington Junior', 'Attendant Hardy', 'Captain of the Demeter', 'Abramoff (Demeter Crew)', 'Olgaren (Demeter Crew)', 'Mate of the Demeter (Roumanian)', 'Second Mate of the Demeter', 'Rufus Smith', 'Mr. Mackenzie', 'Mr. Steinkoff', 'Captain Donelson', 'Immanuel Hildesheim', 'Petrof Skinsky', 'Lady Godalming', 'Mrs. Seward', 'Dracula']",Paperback,Norton Critical Edition,488,Norton,05/12/86,05/26/97,[],938325,"['345260', '329217', '197206', '48642', '18000']",93.0,"['Transylvania (Romania)', 'Budapest (Hungary)', 'Whitby, Yorkshire, England', 'London, England']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387151694l/17245.jpg,646782,6988,4.55
28187.The_Lightning_Thief,The Lightning Thief,Percy Jackson and the Olympians #1,Rick Riordan (Goodreads Author),4.26,"Alternate cover for this ISBN can be found herePercy Jackson is a good kid, but he can't seem to focus on his schoolwork or control his temper. And lately, being away at boarding school is only getting worse - Percy could have sworn his pre-algebra teacher turned into a monster and tried to kill him. When Percy's mom finds out, she knows it's time that he knew the truth about where he came from, and that he go to the one place he'll be safe. She sends Percy to Camp Half Blood, a summer camp for demigods (on Long Island), where he learns that the father he never knew is Poseidon, God of the Sea. Soon a mystery unfolds and together with his friends—one a satyr and the other the demigod daughter of Athena - Percy sets out on a quest across the United States to reach the gates of the Underworld (located in a recording studio in Hollywood) and prevent a catastrophic war between the gods.",English,9780786838653,"['Fantasy', 'Young Adult', 'Mythology', 'Fiction', 'Middle Grade', 'Adventure', 'Childrens', 'Urban Fantasy', 'Greek Mythology', 'Magic']","['Annabeth Chase', 'Grover Underwood', 'Luke Castellan', 'Zeus (God)', 'Dionysus (mythology)', 'Ares (god)', 'Hades', 'Poseidon (God)', 'Chiron', 'Percy Jackson']",Paperback,First edition,375,Disney Hyperion Books,03/01/06,06/28/05,"[""Young Readers' Choice Award (2008)"", 'Books I Loved Best Yearly (BILBY) Awards for Older Readers (2011)', 'South Carolina Book Award for Junior Book Award (2008)', 'Grand Canyon Reader Award for Tween Book (2008)', 'Nene Award (2008)', ""Massachusetts Children's Book Award (2008)"", ""Pennsylvania Young Readers' Choice Award for Grades 6-8 (2008)"", 'Rhode Island Teen Book Award Nominee (2007)', 'Sunshine State Young Readers Award for Grades 6-8 (2007)', ""Pacific Northwest Library Association Young Reader's Choice Award for Intermediate (2008)"", 'Iowa Teen Award (2009)', 'Lincoln Award Nominee (2009)', 'Oklahoma Sequoyah Award for YA (2008)', ""Rebecca Caudill Young Readers' Book Award (2009)""]",1992300,"['1006885', '604999', '289310', '64014', '27092']",95.0,"['New York City, New York (United States)', 'Montauk, New York (United States)', 'New Jersey (United States)', 'St. Louis, Missouri (United States)', 'Las Vegas, Nevada (United States)', 'Long Island, New York (United States)']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1400602609l/28187.jpg,597132,6370,1.79
33574273-a-wrinkle-in-time,A Wrinkle in Time,Time Quintet #1,Madeleine L'Engle,4.0,"It was a dark and stormy night.Out of this wild night, a strange visitor comes to the Murry house and beckons Meg, her brother Charles Wallace, and their friend Calvin O'Keefe on a most dangerous and extraordinary adventure—one that will threaten their lives and our universe.Winner of the 1963 Newbery Medal, A Wrinkle in Time is the first book in Madeleine L'Engle's classic Time Quintet.",English,9781250153272,"['Fantasy', 'Fiction', 'Classics', 'Young Adult', 'Science Fiction', 'Childrens', 'Middle Grade', 'Time Travel', 'Adventure', 'Science Fiction Fantasy']","['Meg Murry', 'Charles Wallace Murry', ""Calvin O'Keefe"", 'Dr. Kate Murry', 'Sandy Murry', 'Dennys Murry', 'Mrs. Whatsit', 'Mrs. Who', 'Mrs. Which']",Paperback,Movie Tie-In,218,Square Fish,11/07/17,10/28/62,"['Newbery Medal (1963)', ""Dorothy Canfield Fisher Children's Book Award Nominee (1964)"", 'Oklahoma Sequoyah Award (1965)', 'Margaret A. Edwards Award (1998)']",1051535,"['425481', '327970', '200267', '63557', '34260']",91.0,[],https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1507963312l/33574273._SX318_.jpg,562789,6014,4.8
44767458-dune,Dune,Dune #1,Frank Herbert,4.23,"Set on the desert planet Arrakis, Dune is the story of the boy Paul Atreides, heir to a noble family tasked with ruling an inhospitable world where the only thing of value is the “spice” melange, a drug capable of extending life and enhancing consciousness. Coveted across the known universe, melange is a prize worth killing for...When House Atreides is betrayed, the destruction of Paul’s family will set the boy on a journey toward a destiny greater than he could ever have imagined. And as he evolves into the mysterious man known as Muad’Dib, he will bring to fruition humankind’s most ancient and unattainable dream.",English,9780593099322,"['Science Fiction', 'Fiction', 'Fantasy', 'Classics', 'Science Fiction Fantasy', 'Space Opera', 'Audiobook', 'Novels', 'Adventure', 'Adult']","['Stilgar', 'Vladimir Harkonnen', 'Duncan Idaho', 'Leto Atreides', 'Paul Atreides', 'Alia Atreides', 'Lady Jessica', 'Shaddam IV', 'Gurney Halleck']",Hardcover,Deluxe Edition,661,Ace Books,10/01/19,06/28/65,"['Hugo Award for Best Novel (1966)', 'Nebula Award for Best Novel (1965)', 'Seiun Award 星雲賞 for Best Foreign Novel (1974)']",765785,"['391252', '224627', '101953', '30795', '17158']",94.0,"['Arrakis', 'Caladan', 'Giedi Prime', 'Harko', 'Arrakin', 'Sietch Tabr']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1555447414l/44767458.jpg,406837,4394,29.34
99107.Winnie_the_Pooh,Winnie-the-Pooh,Winnie-the-Pooh #1,"A.A. Milne, Ernest H. Shepard (Illustrator)",4.34,"The adventures of Christopher Robin and his friends in which Pooh Bear uses a balloon to get honey, Piglet meets a Heffalump, and Eeyore has a birthday.",English,9780525467564,"['Classics', 'Childrens', 'Fiction', 'Fantasy', 'Animals', 'Picture Books', 'Young Adult', 'Audiobook', 'Middle Grade', 'Juvenile']","['Winnie the Pooh (A.A. Milne)', 'Christopher Robin (A.A. Milne)', 'Piglet (A.A. Milne)', 'Owl (A.A. Milne)', 'Kanga (A.A. Milne)', 'Roo (A.A. Milne)', 'Eeyore (A.A. Milne)', 'Rabbit (A.A. Milne)']",Hardcover,Anniversary Edition,145,Dutton Juvenile,10/01/01,10/14/26,[],270388,"['151804', '73615', '33669', '7126', '4174']",96.0,['Hundred Acre Wood (United Kingdom)'],https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1298440130l/99107.jpg,219143,2581,5.3
24583.The_Adventures_of_Tom_Sawyer,The Adventures of Tom Sawyer,Adventures of Tom and Huck #1,"Mark Twain, Guy Cardwell (Annotations), John Seelye (Introduction)",3.91,"The Adventures of Tom Sawyer revolves around the youthful adventures of the novel's schoolboy protagonist, Thomas Sawyer, whose reputation precedes him for causing mischief and strife. Tom lives with his Aunt Polly, half-brother Sid, and cousin Mary in the quaint town of St. Petersburg, just off the shore of the Mississippi River. St. Petersburg is described as a typical small-town atmosphere where the Christian faith is predominant, the social network is close-knit, and familiarity resides.  Unlike his brother Sid, Tom receives ""lickings"" from his Aunt Polly; ever the mischief-maker, would rather play hooky than attend school and often sneaks out his bedroom window at night to adventure with his friend, Huckleberry Finn ­ the town's social outcast. Tom, despite his dread of schooling, is extremely clever and would normally get away with his pranks if Sid were not such a ""tattle-tale.""  As punishment for skipping school to go swimming, Aunt Polly assigns Tom the chore of whitewashing the fence surrounding the house. In a brilliant scheme, Tom is able to con the neighborhood boys into completing the chore for him, managing to convince them of the joys of whitewashing. At school, Tom is equally as flamboyant, and attracts attention by chasing other boys, yelling, and running around. With his usual antics, Tom attempts to catch the eye of Becky Thatcher, a new girl in town, and persuades her to get ""engaged"" by kissing him. But their romance collapses when she learns Tom has been ""engaged"" previously to Amy Lawrence. Shortly after Becky shuns him, he accompanies Huckleberry Finn to the graveyard at night, where they witness the murder of Dr. Robinson.Excerpt:""TOM!"" No answer. ""TOM!"" No answer. ""What's gone with that boy,  I wonder? You TOM!"" No answer. The old lady pulled her spectacles down and looked over them about the room; then she put them up and looked out under them. She seldom or never looked through them for so small a thing as a boy; they were her state pair, the pride of her heart, and were built for ""style,"" not service—she could have seen through a pair of stove-lids just as well. She looked perplexed for a moment, and then said, not fiercely, but still loud enough for the furniture to hear: ""Well, I lay if I get hold of you I'll—"" She did not finish, for by this time she was bending down and punching under the bed with the broom, and so she needed breath to punctuate the punches with. She resurrected nothing but the cat. ""I never did see the beat of that boy!""",English,9780143039563,"['Classics', 'Fiction', 'Adventure', 'Young Adult', 'Historical Fiction', 'Literature', 'Childrens', 'School', 'Novels', 'American']","['Huckleberry Finn', 'Tom Sawyer']",Paperback,Annotated,244,Penguin Classics,02/28/06,10/28/76,['Lewis Carroll Shelf Award (1967)'],758171,"['246612', '275196', '176772', '43185', '16406']",92.0,"['Hannibal, Missouri (United States)', 'Missouri (United States)']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404811979l/24583.jpg,147006,1806,3.36
6310.Charlie_and_the_Chocolate_Factory,Charlie and the Chocolate Factory,Charlie Bucket #1,"Roald Dahl, Quentin Blake (Illustrations)",4.14,"Charlie Bucket's wonderful adventure begins when he finds one of Mr. Willy Wonka's precious Golden Tickets and wins a whole day inside the mysterious chocolate factory. Little does he know the surprises that are in store for him!
(back cover)",English,9780142403884,"['Childrens', 'Fantasy', 'Fiction', 'Classics', 'Young Adult', 'Middle Grade', 'Humor', 'Adventure', 'Juvenile', 'Novels']","['Charlie Bucket', 'Willy Wonka', 'Violet Beauregarde', 'Veruca Salt', 'Augustus Gloop', 'Mike Teavee', 'Grandpa Joe']",Paperback,Movie Tie-In Edition (USA/CAN),176,Puffin Books,06/02/05,01/17/64,"['Books I Loved Best Yearly (BILBY) Awards for Read Aloud (1992)', ""North Dakota Children's Choice Award (1985)""]",664710,"['285308', '229774', '117014', '22663', '9951']",95.0,[],https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309211401l/6310.jpg,143701,1718,1.13
